(471, 298)
(472, 298)
(473, 298)
(474, 298)
(475, 298)
(476, 298)
(477, 298)
(478, 298)
(479, 298)
(481, 298)
(482, 298)
(483, 298)
(484, 298)
(485, 298)
(486, 298)
(487, 298)
(488, 298)
(489, 298)
(490, 298)
(471, 299)
(472, 299)
(473, 299)
(474, 299)
(475, 299)
(476, 299)
(477, 299)
(478, 299)
(479, 299)
(481, 299)
(482, 299)
(483, 299)
(484, 299)
(485, 299)
(486, 299)
(487, 299)
(488, 299)
(489, 299)
(490, 299)
(471, 300)
(472, 300)
(473, 300)
(474, 300)
(475, 300)
(476, 300)
(477, 300)
(478, 300)
(479, 300)
(481, 300)
(482, 300)
(483, 300)
(484, 300)
(485, 300)
(486, 300)
(487, 300)
(488, 300)
(489, 300)
(490, 300)
(471, 301)
(472, 301)
(473, 301)
(474, 301)
(475, 301)
(476, 301)
(477, 301)
(478, 301)
(479, 301)
(481, 301)
(482, 301)
(483, 301)
(484, 301)
(485, 301)
(486, 301)
(487, 301)
(488, 301)
(489, 301)
(490, 301)
(471, 302)
(472, 302)
(473, 302)
(474, 302)
(475, 302)
(476, 302)
(477, 302)
(478, 302)
(479, 302)
(481, 302)
(482, 302)
(483, 302)
(484, 302)
(485, 302)
(486, 302)
(487, 302)
(488, 302)
(489, 302)
(490, 302)
(471, 303)
(472, 303)
(473, 303)
(474, 303)
(475, 303)
(476, 303)
(477, 303)
(478, 303)
(479, 303)
(481, 303)
(482, 303)
(483, 303)
(484, 303)
(485, 303)
(486, 303)
(487, 303)
(488, 303)
(489, 303)
(490, 303)
(471, 304)
(472, 304)
(473, 304)
(474, 304)
(475, 304)
(476, 304)
(477, 304)
(478, 304)
(479, 304)
(481, 304)
(482, 304)
(483, 304)
(484, 304)
(485, 304)
(486, 304)
(487, 304)
(488, 304)
(489, 304)
(490, 304)
(472, 305)
(473, 305)
(474, 305)
(475, 305)
(476, 305)
(477, 305)
(478, 305)
(479, 305)
(481, 305)
(482, 305)
(483, 305)
(484, 305)
(485, 305)
(486, 305)
(487, 305)
(488, 305)
(489, 305)
(490, 305)
(473, 306)
(474, 306)
(475, 306)
(476, 306)
(477, 306)
(478, 306)
(479, 306)
(481, 306)
(482, 306)
(483, 306)
(484, 306)
(485, 306)
(486, 306)
(487, 306)
(488, 306)
(489, 306)
(490, 306)
(474, 307)
(475, 307)
(476, 307)
(477, 307)
(478, 307)
(479, 307)
(481, 307)
(482, 307)
(483, 307)
(484, 307)
(485, 307)
(486, 307)
(487, 307)
(488, 307)
(489, 307)
(490, 307)
(476, 309)
(477, 309)
(478, 309)
(479, 309)
(481, 309)
(482, 309)
(483, 309)
(484, 309)
(485, 309)
